2,0.9,11
3,1.3802039,2
3,1.5000039,6
3,1.6203139,7
3,1.7802039,6
3,1.9000039,2
1,2.1802039,11
1,2.3401039,9
1,2.7000039,11
3,3.9000039,7
3,4.1802039,2
3,4.5401039,0
3,4.6203139,2
3,4.8203139,0
2,4.9401039,11
2,5.1802039,9
2,5.3000039,9
2,5.4203139,4
2,5.7000039,7
2,6.8598939,11
3,7.1802039,7
3,7.3802039,2
3,7.6203139,7
3,7.8203139,6
3,7.9401039,4
3,8.1802039,2
3,8.3401039,2
2,8.7401039,11
3,9.7802039,0
2,9.8598939,7
2,10.3802039,7
3,10.5401039,2
2,10.8203039,10
1,10.9000039,9
1,11.1802039,7
1,11.3802039,6
3,12.7802039,7
3,13.2599039,9
3,13.5802039,9
3,14.0401039,7
3,14.3802039,9
3,14.7000039,7
3,14.8599039,2
3,15.1802039,9
3,15.5401039,7
3,16.1802039,7
3,16.2203039,9
3,16.5401039,3
3,17.3000039,2
3,17.7000039,0
2,18.0401039,11
2,18.4599039,7
3,18.9000039,11
3,19.3000039,9
3,19.6203039,0
3,20.3000039,11
2,20.7000039,2
2,20.8599039,0
0,21.0599039,11
0,21.2901039,7
3,22.2203039,2
3,22.3802039,0
3,22.5401039,11
3,22.9401039,7
0,22.9401039,8
3,23.1000039,3
3,23.3802039,6
3,23.6599039,2
3,24.0599039,9
3,24.7401039,11
3,25.3802039,2
3,25.5000039,6
3,25.6203039,7
3,25.7802039,6
3,25.9000039,2
3,26.1802039,11
3,26.3401039,9
3,26.7000039,11
3,27.7901039,7
3,28.2901039,2
3,28.5401039,0
3,28.6203039,2
3,28.8203039,0
3,28.9401039,11
3,29.1802039,9
3,29.2901039,9
3,29.7000039,7
3,30.94,11
3,31.4197,2
3,31.6197,6
3,31.6598,7
3,31.8598,6
0,32.0197,3
3,32.0197,4
3,32.2598,2
3,32.4197,2
3,32.8598,11
3,34.4197,7
3,34.6197,2
3,34.8598,10
3,34.9801,9
3,35.2197,7
3,35.3801,11
3,35.4598,6
